company-name,job-titles
Prospa,Backend Engineer
Metropolis World Ltd,Senior Developer 
Saasyan,Senior Full Stack Developer - Angular/Python
Trust Anakytica,Full Stack web developer (React+PHP)
Schenck Process Australia,"Schenk Process - Full-Stack Developer (React, AWS) FT Freelance - APAC"
Fingerprint,Senior Cloud Infrastructure Engineer (Remote)
Fingerprint,Senior Backend Engineer (AWS)
Prospa,Mobile Engineer
Carbide,Sr Software Developer (Remote)
Open Education LLC,senior java developer
Getable,Full Stack developer
Saasyan,Senior Full Stack Developer - PHP
Fingerprint,Senior Frontend Engineer
Angel Protocol,Frontend Developer
Arc Exclusive,"Front-End developer (Typescript, Next.js) - FT Freelance - Worldwide"
trebu,LEAD BACKEND ENGINEER
zip,"Zip - Front-end developer (Next.js, React, Web3) - FT - Freelance - Americas, Europe"
Void,Back End developer
FYI,Qt/QML DEVELOPER 
Pareto Labs,Front End Developer
Empathic Clinical Software,"Full-Stack developer (Java, Spring, Grails) - PT - Freelance - Worldwide"
trebu,MID FRONT END ENGINEER
Stimulus,Software engineer
Prospa,Frontend Engineer
Viatrace,Blockchain Engineer
Norby,Senior Front End Developer
Airtomic,Python (Django) Backend Developer for Web App
Beacon,"Front-End Developer (Javascript, React) FT - EU (Sweden preferred)"
Instill AI,Back End developer
Instill AI,Front End developer
